source_feature_id,language_id,evidence_channel,canonical_semantic_id,feature_signature_hash,uasf_signature_hash,basis_ones,exact,proof_state
GEN::abi_calling_convention,generic_archetype,BASE_553_MATRIX,UASF_0023,7869233b772c876fd7fde9ca,7869233b772c876fd7fde9ca,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::allocation,generic_archetype,BASE_553_MATRIX,UASF_0258,1b0f56480b3de4a3192b813f,1b0f56480b3de4a3192b813f,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::array_list,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::array_type,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::assignment,generic_archetype,BASE_553_MATRIX,UASF_0220,4de20464805e6b7f70894e82,4de20464805e6b7f70894e82,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::atomic,generic_archetype,BASE_553_MATRIX,UASF_0154,81640d07a7c61ef02d24263e,81640d07a7c61ef02d24263e,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::attribute_annotation,generic_archetype,BASE_553_MATRIX,UASF_0301,82e7910fa81e651a2695debc,82e7910fa81e651a2695debc,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::await,generic_archetype,BASE_553_MATRIX,UASF_0222,ffe41cb5eab0c65ce0839ed6,ffe41cb5eab0c65ce0839ed6,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::binary_op,generic_archetype,BASE_553_MATRIX,UASF_0225,d736949578be84548ee2b56a,d736949578be84548ee2b56a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::break,generic_archetype,BASE_553_MATRIX,UASF_0180,9a20140a5d94d0d8f5e12865,9a20140a5d94d0d8f5e12865,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::bytecode_vm,generic_archetype,BASE_553_MATRIX,UASF_0121,fc78a920d8f6e30964869cc3,fc78a920d8f6e30964869cc3,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::call,generic_archetype,BASE_553_MATRIX,UASF_0221,8b7cc9d0c0d87763f92177c9,8b7cc9d0c0d87763f92177c9,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::capture,generic_archetype,BASE_553_MATRIX,UASF_0048,cb2e21577620799363aba340,cb2e21577620799363aba340,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::cast_conversion,generic_archetype,BASE_553_MATRIX,UASF_0226,868ba177ecb7297d5aab900a,868ba177ecb7297d5aab900a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::channel,generic_archetype,BASE_553_MATRIX,UASF_0152,4895473432b7e27bd5e8c4d7,4895473432b7e27bd5e8c4d7,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::class,generic_archetype,BASE_553_MATRIX,UASF_0311,8b498714898ea2624a922fb3,8b498714898ea2624a922fb3,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::closure_lambda,generic_archetype,BASE_553_MATRIX,UASF_0217,92112e64c21130b03eb0167c,92112e64c21130b03eb0167c,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::code_generation,generic_archetype,BASE_553_MATRIX,UASF_0122,8b6704b210b3d423c65d72fb,8b6704b210b3d423c65d72fb,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::compile_time_eval,generic_archetype,BASE_553_MATRIX,UASF_0118,c18792ac0b5b0f110ad9c1a3,c18792ac0b5b0f110ad9c1a3,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::comprehension,generic_archetype,BASE_553_MATRIX,UASF_0218,42d7b662747ea4e9d18e7024,42d7b662747ea4e9d18e7024,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::constant,generic_archetype,BASE_553_MATRIX,UASF_0302,3c216bc2d8184459732be828,3c216bc2d8184459732be828,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::continue,generic_archetype,BASE_553_MATRIX,UASF_0180,9a20140a5d94d0d8f5e12865,9a20140a5d94d0d8f5e12865,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::defer_cleanup,generic_archetype,BASE_553_MATRIX,UASF_0183,8c4c024aa055000ef0cf02eb,8c4c024aa055000ef0cf02eb,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::dynamic_dispatch,generic_archetype,BASE_553_MATRIX,UASF_0256,45a779475a97244d9155d885,45a779475a97244d9155d885,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::enum,generic_archetype,BASE_553_MATRIX,UASF_0309,85cfece0effb726f9ce05033,85cfece0effb726f9ce05033,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::exception_try,generic_archetype,BASE_553_MATRIX,UASF_0183,8c4c024aa055000ef0cf02eb,8c4c024aa055000ef0cf02eb,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::ffi,generic_archetype,BASE_553_MATRIX,UASF_0022,3e793cf0efbeea49bf91d143,3e793cf0efbeea49bf91d143,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::filesystem,generic_archetype,BASE_553_MATRIX,UASF_0257,fd5014865f92d9be3cefe5d5,fd5014865f92d9be3cefe5d5,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::for,generic_archetype,BASE_553_MATRIX,UASF_0182,fcac79eee22c686af6710555,fcac79eee22c686af6710555,6,1,EXACT_SIGNATURE_EQUIVALENCE
