language_id,basis_id,dimension,external_atom_id,mapping_strength,external_status
c,BASIS_042,types.structure,EXTSEM_STATIC_TYPING,CORROBORATING,PRESENT
c,BASIS_043,validation.contract,EXTSEM_STATIC_TYPING,CORROBORATING,PRESENT
c,BASIS_042,types.structure,EXTSEM_NOMINAL_TYPE_IDENTITY,DIRECT,PRESENT
c,BASIS_033,pointer.provenance,EXTSEM_EXPLICIT_POINTER_REFERENCE,DIRECT,PRESENT
c,BASIS_023,memory.model,EXTSEM_EXPLICIT_POINTER_REFERENCE,CORROBORATING,PRESENT
c,BASIS_037,scope.binding,EXTSEM_LEXICAL_SCOPING,DIRECT,PRESENT
c,BASIS_065,scope.binding,EXTSEM_LEXICAL_SCOPING,DIRECT,PRESENT
c,BASIS_066,scope.graph,EXTSEM_LEXICAL_SCOPING,CORROBORATING,PRESENT
c,BASIS_020,language.unspecified_behavior,EXTSEM_PARTIAL_UNSPECIFIED_EVAL,DIRECT,PRESENT
c,BASIS_015,evaluation.order,EXTSEM_PARTIAL_UNSPECIFIED_EVAL,DIRECT,PRESENT
c,BASIS_008,control.flow,EXTSEM_SHORT_CIRCUIT_BOOL,DIRECT,PRESENT
c,BASIS_054,control.flow,EXTSEM_SHORT_CIRCUIT_BOOL,DIRECT,PRESENT
c,BASIS_015,evaluation.order,EXTSEM_SHORT_CIRCUIT_BOOL,DIRECT,PRESENT
c,BASIS_014,effects.control,EXTSEM_SHORT_CIRCUIT_BOOL,CORROBORATING,PRESENT
c,BASIS_044,value.category,EXTSEM_PASS_BY_VALUE_CORE,CORROBORATING,PRESENT
c,BASIS_009,conversion.semantics,EXTSEM_PASS_BY_VALUE_CORE,CORROBORATING,PRESENT
c,BASIS_023,memory.model,EXTSEM_MANUAL_MEMORY,DIRECT,PRESENT
c,BASIS_029,object.lifetime,EXTSEM_MANUAL_MEMORY,CORROBORATING,PRESENT
c,BASIS_043,validation.contract,EXTSEM_UNSAFE_ESCAPE,CORROBORATING,PRESENT
c,BASIS_036,runtime.contract,EXTSEM_UNSAFE_ESCAPE,CORROBORATING,PRESENT
c,BASIS_007,concurrency.model,EXTSEM_CONCURRENCY_PRIMITIVES,DIRECT,PRESENT
c,BASIS_051,concurrency.graph,EXTSEM_CONCURRENCY_PRIMITIVES,CORROBORATING,PRESENT
c,BASIS_024,memory.ordering,EXTSEM_ATOMICS_MEMORY_MODEL,DIRECT,PRESENT
c,BASIS_039,synchronization,EXTSEM_ATOMICS_MEMORY_MODEL,DIRECT,PRESENT
c,BASIS_007,concurrency.model,EXTSEM_ATOMICS_MEMORY_MODEL,CORROBORATING,PRESENT
c,BASIS_034,preprocessor.semantics,EXTSEM_MACROS,CORROBORATING,PRESENT
c,BASIS_006,compiletime.semantics,EXTSEM_MACROS,CORROBORATING,PRESENT
c,BASIS_001,abi.ffi,EXTSEM_FFI,DIRECT,PRESENT
c,BASIS_045,abi.graph,EXTSEM_FFI,CORROBORATING,PRESENT
c,BASIS_019,language.undefined_behavior,EXTSEM_UNDEFINED_BEHAVIOR,DIRECT,PRESENT
cpp,BASIS_042,types.structure,EXTSEM_STATIC_TYPING,CORROBORATING,PRESENT
cpp,BASIS_043,validation.contract,EXTSEM_STATIC_TYPING,CORROBORATING,PRESENT
cpp,BASIS_042,types.structure,EXTSEM_NOMINAL_TYPE_IDENTITY,DIRECT,PRESENT
cpp,BASIS_042,types.structure,EXTSEM_STRUCTURAL_CONFORMANCE,CORROBORATING,PRESENT
cpp,BASIS_052,constraint.graph,EXTSEM_STRUCTURAL_CONFORMANCE,CORROBORATING,PRESENT
cpp,BASIS_042,types.structure,EXTSEM_PARAMETRIC_POLYMORPHISM,CORROBORATING,PRESENT
cpp,BASIS_040,template.instantiation,EXTSEM_PARAMETRIC_POLYMORPHISM,CORROBORATING,PRESENT
cpp,BASIS_041,types.origin,EXTSEM_TYPE_INFERENCE,DIRECT,PRESENT
cpp,BASIS_043,validation.contract,EXTSEM_TYPE_INFERENCE,CORROBORATING,PRESENT
cpp,BASIS_044,value.category,EXTSEM_VALUE_TYPES,DIRECT,PRESENT
cpp,BASIS_029,object.lifetime,EXTSEM_VALUE_TYPES,CORROBORATING,PRESENT
cpp,BASIS_044,value.category,EXTSEM_REFERENCE_TYPES,DIRECT,PRESENT
cpp,BASIS_023,memory.model,EXTSEM_REFERENCE_TYPES,CORROBORATING,PRESENT
cpp,BASIS_033,pointer.provenance,EXTSEM_EXPLICIT_POINTER_REFERENCE,DIRECT,PRESENT
cpp,BASIS_023,memory.model,EXTSEM_EXPLICIT_POINTER_REFERENCE,CORROBORATING,PRESENT
cpp,BASIS_037,scope.binding,EXTSEM_LEXICAL_SCOPING,DIRECT,PRESENT
cpp,BASIS_065,scope.binding,EXTSEM_LEXICAL_SCOPING,DIRECT,PRESENT
