language_id,basis_id,dimension,external_support_count,formal_rule_support_count,corroborated,corroboration_state
c,BASIS_001,abi.ffi,1,0,1,CORROBORATED
c,BASIS_002,abi.layout,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_003,binding.graph,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_004,capture.shadowing,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_005,compiletime.evaluation,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_006,compiletime.semantics,1,0,1,CORROBORATED
c,BASIS_007,concurrency.model,2,0,1,CORROBORATED
c,BASIS_008,control.flow,1,0,1,CORROBORATED
c,BASIS_009,conversion.semantics,1,0,1,CORROBORATED
c,BASIS_010,coroutine.state_machine,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_011,data.flow,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_012,dialect.extension,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_013,effect.graph,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_014,effects.control,1,0,1,CORROBORATED
c,BASIS_015,evaluation.order,2,0,1,CORROBORATED
c,BASIS_016,exception.unwind,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_017,initialization.order,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_018,language.implementation_defined,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_019,language.undefined_behavior,1,0,1,CORROBORATED
c,BASIS_020,language.unspecified_behavior,1,0,1,CORROBORATED
c,BASIS_021,linkage.odr,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_022,lowering.pipeline,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_023,memory.model,2,0,1,CORROBORATED
c,BASIS_024,memory.ordering,1,0,1,CORROBORATED
c,BASIS_025,module.semantics,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_026,name.resolution,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_027,nodes.declaration,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_028,nodes.expression,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_029,object.lifetime,1,0,1,CORROBORATED
c,BASIS_030,operations,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_031,overload.resolution,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_032,ownership.lifetime,0,0,0,UNRESOLVED_EXTERNAL
c,BASIS_033,pointer.provenance,1,0,1,CORROBORATED
c,BASIS_034,preprocessor.semantics,1,0,1,CORROBORATED
c,BASIS_035,purity,0,0,0,UNRESOLVED_EXTERNAL
