language_id,canonical_semantic_id,basis_ones,corroborated_basis_ones,corroborated_basis_ids,state
c,UASF_0001,3,1,BASIS_001,CORROBORATED_PARTIAL
c,UASF_0006,2,2,BASIS_001;BASIS_009,CORROBORATED_PARTIAL
c,UASF_0016,3,2,BASIS_001;BASIS_023,CORROBORATED_PARTIAL
c,UASF_0022,5,3,BASIS_001;BASIS_023;BASIS_045,CORROBORATED_PARTIAL
c,UASF_0023,5,3,BASIS_001;BASIS_023;BASIS_045,CORROBORATED_PARTIAL
c,UASF_0024,5,2,BASIS_001;BASIS_023,CORROBORATED_PARTIAL
c,UASF_0025,5,2,BASIS_001;BASIS_023,CORROBORATED_PARTIAL
c,UASF_0026,5,2,BASIS_001;BASIS_023,CORROBORATED_PARTIAL
c,UASF_0031,3,2,BASIS_001;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0032,3,3,BASIS_001;BASIS_036;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0034,3,1,BASIS_043,CORROBORATED_PARTIAL
c,UASF_0035,3,2,BASIS_023;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0036,2,1,BASIS_029,CORROBORATED_PARTIAL
c,UASF_0037,3,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0038,3,1,BASIS_042,CORROBORATED_PARTIAL
c,UASF_0039,3,2,BASIS_036;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0040,2,1,BASIS_042,CORROBORATED_PARTIAL
c,UASF_0047,4,1,BASIS_037,CORROBORATED_PARTIAL
c,UASF_0048,5,1,BASIS_037,CORROBORATED_PARTIAL
c,UASF_0049,5,2,BASIS_037;BASIS_066,CORROBORATED_PARTIAL
c,UASF_0050,5,1,BASIS_037,CORROBORATED_PARTIAL
c,UASF_0084,3,1,BASIS_043,CORROBORATED_PARTIAL
c,UASF_0087,3,1,BASIS_037,CORROBORATED_PARTIAL
c,UASF_0091,3,0,,NO_INDEPENDENT_AXIS_SUPPORT
c,UASF_0106,3,1,BASIS_042,CORROBORATED_PARTIAL
c,UASF_0107,3,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0108,3,1,BASIS_043,CORROBORATED_PARTIAL
c,UASF_0118,5,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0119,5,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0120,5,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0121,5,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0122,4,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0133,3,1,BASIS_006,CORROBORATED_PARTIAL
c,UASF_0134,3,2,BASIS_006;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0135,2,2,BASIS_006;BASIS_034,CORROBORATED_PARTIAL
c,UASF_0137,3,2,BASIS_006;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0150,3,3,BASIS_007;BASIS_024;BASIS_039,CORROBORATED_PARTIAL
c,UASF_0151,5,5,BASIS_007;BASIS_024;BASIS_039;BASIS_051;BASIS_054,CORROBORATED_PARTIAL
c,UASF_0152,6,4,BASIS_007;BASIS_024;BASIS_039;BASIS_051,CORROBORATED_PARTIAL
c,UASF_0153,5,4,BASIS_007;BASIS_024;BASIS_039;BASIS_051,CORROBORATED_PARTIAL
c,UASF_0154,6,4,BASIS_007;BASIS_024;BASIS_039;BASIS_051,CORROBORATED_PARTIAL
c,UASF_0155,5,4,BASIS_007;BASIS_024;BASIS_039;BASIS_051,CORROBORATED_PARTIAL
c,UASF_0156,2,1,BASIS_007,CORROBORATED_PARTIAL
c,UASF_0158,3,2,BASIS_008;BASIS_029,CORROBORATED_PARTIAL
c,UASF_0159,3,1,BASIS_008,CORROBORATED_PARTIAL
c,UASF_0160,3,1,BASIS_008,CORROBORATED_PARTIAL
c,UASF_0178,6,4,BASIS_008;BASIS_014;BASIS_015;BASIS_054,CORROBORATED_PARTIAL
c,UASF_0183,5,4,BASIS_008;BASIS_014;BASIS_015;BASIS_054,CORROBORATED_PARTIAL
c,UASF_0193,3,2,BASIS_009;BASIS_044,CORROBORATED_PARTIAL
c,UASF_0194,2,1,BASIS_009,CORROBORATED_PARTIAL
c,UASF_0198,3,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0199,3,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0200,2,2,BASIS_009;BASIS_033,CORROBORATED_PARTIAL
c,UASF_0203,5,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0204,5,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0205,5,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0206,5,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0207,5,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0208,4,2,BASIS_009;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0210,3,1,BASIS_015,CORROBORATED_PARTIAL
c,UASF_0222,7,3,BASIS_015;BASIS_051;BASIS_054,CORROBORATED_PARTIAL
c,UASF_0223,6,2,BASIS_015;BASIS_054,CORROBORATED_PARTIAL
c,UASF_0226,6,1,BASIS_015,CORROBORATED_PARTIAL
c,UASF_0246,3,2,BASIS_023;BASIS_029,CORROBORATED_PARTIAL
c,UASF_0249,3,2,BASIS_023;BASIS_042,CORROBORATED_PARTIAL
c,UASF_0254,5,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0255,5,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0256,5,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0257,4,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0258,5,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0259,5,1,BASIS_036,CORROBORATED_PARTIAL
c,UASF_0261,3,2,BASIS_014;BASIS_029,CORROBORATED_PARTIAL
