language_id,relative_path,present,kind,sha256
julia,JuliaSyntax,true,directory,
julia,doc/src/devdocs/compiler.md,true,file,664da79b4e362a9937c60f7b5269d8a24b55b7e6ee2acb42ec96ab546826d24a
julia,base/Base.jl,true,file,4ab292499f631abdb28cca6a70222b53591c0cda2c374ef00f9c98d059c29ff3
nim,compiler/nodekinds.nim,true,file,8d82f1ff3f9479709a33b35cfdf6e74067d1d33b9775373b360fabe4d631e0ec
nim,compiler/astdef.nim,true,file,f029e3f89ef444c82ba51c2911154ab0a5418a2b8c84dfba86147faf7126ca93
nim,compiler/options.nim,true,file,672fa18df1fffa585f475e1d45b82719c46fd64cc616d5fb7328b541ff92387c
nim,lib/system.nim,true,file,ce689b6c4cd90f8d92496123e471aaa41ff73f240a7c332d259f98a6c9b4e6ce
nim,compiler/extccomp.nim,true,file,b47f3b39ebe8e88e4bc8a20f7b9dfed8d9545304edf0301698f2af70d202aae8
swift,include/swift/AST/DeclNodes.def,true,file,97eedf051e6ac387bdf1f3ed56f3a9597628b46614c7c82a59e0668f63b9bd31
swift,include/swift/AST/ExprNodes.def,true,file,0b55b573af92bc5860f8451f5d9ac1747d8b1608d00aafd3083da7a6d5d455d8
swift,include/swift/AST/StmtNodes.def,true,file,b106ddc17455646d89a1b19c2fc96a92c161c03476a0c5a85ac313d5fe0513f3
swift,include/swift/AST/PatternNodes.def,true,file,c4be5175caa8b048e099a194e789f0ab3456bc79eb5ac24227aae7457abfbbed
swift,docs/TypeChecker.md,true,file,f1254a82e70a48c99bbf4f8c626c570fbdc30cd7b41ca7a590c301a30f4ee55d
swift,docs/Compiler.md,false,missing,
zig,lib/std/zig/Ast.zig,true,file,79d37230f014d745670736e304e8ef46d1c4ec85658470ad0400205dd470e3eb
zig,lib/std/builtin.zig,true,file,930e160ee00c069b06a10a077eaa0cfc78dae763ea3479a2b5c6410fc5e62634
zig,src/Sema.zig,true,file,a979eecb18ebf2f84b6b05ba66172be38f23aca567a89b8f2979493cf5828b94
zig,doc/langref.html.in,true,file,6a5520e69529dee8fb16f2e03ee987e7d502f4c929a02bf00639f0fc738bb543
zig,lib/std/zig.zig,true,file,8b929e66db75fff71b4fcfe7820c35ef1b183caaa39e291e891519659a5c8098
