target_id,canonical_semantic_id,native_candidate,evidence_languages
c,UASF_0001,true,c;cpp
c,UASF_0002,false,kotlin
c,UASF_0003,false,kotlin
c,UASF_0004,false,rust
c,UASF_0005,false,rust
c,UASF_0006,true,c;cpp
c,UASF_0007,false,java
c,UASF_0008,false,kotlin
c,UASF_0009,false,rust
c,UASF_0010,false,go
c,UASF_0011,false,r
c,UASF_0012,false,rust
c,UASF_0013,false,rust
c,UASF_0014,false,java;r
c,UASF_0015,false,java
c,UASF_0016,true,c;cpp
c,UASF_0017,false,rust
c,UASF_0018,false,csharp
c,UASF_0019,false,rust
c,UASF_0020,false,csharp
c,UASF_0021,false,rust
c,UASF_0022,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0023,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0024,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0025,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0026,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0027,false,r
c,UASF_0028,false,rust
c,UASF_0029,false,rust
c,UASF_0030,false,rust
c,UASF_0031,true,c;cpp
c,UASF_0032,true,c;cpp
c,UASF_0033,false,go
c,UASF_0034,true,c;cpp
c,UASF_0035,true,c;cpp
c,UASF_0036,true,c;cpp
c,UASF_0037,true,c;cpp
c,UASF_0038,true,c;cpp
c,UASF_0039,true,c;cpp
c,UASF_0040,true,c;cpp
c,UASF_0041,false,java
c,UASF_0042,false,r
c,UASF_0043,false,rust
c,UASF_0044,false,r
c,UASF_0045,false,csharp
c,UASF_0046,false,r
c,UASF_0047,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0048,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0049,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0050,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0051,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0052,false,csharp
c,UASF_0053,false,kotlin
c,UASF_0054,false,go
c,UASF_0055,false,rust
c,UASF_0056,false,rust
c,UASF_0057,false,rust
c,UASF_0058,false,rust
c,UASF_0059,false,rust
c,UASF_0060,false,csharp
c,UASF_0061,false,rust
c,UASF_0062,false,csharp
c,UASF_0063,false,csharp
c,UASF_0064,false,go
c,UASF_0065,false,kotlin
c,UASF_0066,false,java
c,UASF_0067,false,csharp
c,UASF_0068,false,csharp
c,UASF_0069,false,r
c,UASF_0070,false,rust
c,UASF_0071,false,r
c,UASF_0072,false,r
c,UASF_0073,false,rust
c,UASF_0074,false,rust
c,UASF_0075,false,go
c,UASF_0076,false,go
c,UASF_0077,false,r
c,UASF_0078,false,java
c,UASF_0079,false,csharp
c,UASF_0080,false,csharp
c,UASF_0081,false,r
c,UASF_0082,false,csharp
c,UASF_0083,false,r
c,UASF_0084,true,c;cpp
c,UASF_0085,false,kotlin
c,UASF_0086,false,go
c,UASF_0087,true,c;cpp
c,UASF_0088,false,csharp
c,UASF_0089,false,csharp
c,UASF_0090,false,java
c,UASF_0091,true,c;cpp
c,UASF_0092,false,rust
c,UASF_0093,false,csharp
c,UASF_0094,false,csharp
c,UASF_0095,false,csharp
c,UASF_0096,false,rust
c,UASF_0097,false,csharp
c,UASF_0098,false,csharp
c,UASF_0099,false,csharp
c,UASF_0100,false,csharp
c,UASF_0101,false,kotlin
c,UASF_0102,false,rust
c,UASF_0103,false,rust
c,UASF_0104,false,csharp
c,UASF_0105,false,rust
c,UASF_0106,true,c;cpp
c,UASF_0107,true,c;cpp
c,UASF_0108,true,c;cpp
c,UASF_0109,false,csharp
c,UASF_0110,false,kotlin
c,UASF_0111,false,java
c,UASF_0112,false,java
c,UASF_0113,false,rust
c,UASF_0114,false,csharp
c,UASF_0115,false,csharp
c,UASF_0116,false,csharp
c,UASF_0117,false,rust
c,UASF_0118,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0119,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0120,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0121,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0122,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0123,false,java
c,UASF_0124,false,r
c,UASF_0125,false,rust
c,UASF_0126,false,rust
c,UASF_0127,false,rust
c,UASF_0128,false,csharp
c,UASF_0129,false,csharp
c,UASF_0130,false,rust
c,UASF_0131,false,rust
c,UASF_0132,false,rust
c,UASF_0133,true,c;cpp
c,UASF_0134,true,c;cpp
c,UASF_0135,true,c;cpp
c,UASF_0136,false,rust
c,UASF_0137,true,c;cpp
c,UASF_0138,false,csharp
c,UASF_0139,false,kotlin
c,UASF_0140,false,rust
c,UASF_0141,false,rust
c,UASF_0142,false,go
c,UASF_0143,false,rust
c,UASF_0144,false,go
c,UASF_0145,false,java
c,UASF_0146,false,rust
c,UASF_0147,false,go
c,UASF_0148,false,rust
c,UASF_0149,false,rust
c,UASF_0150,true,c;cpp
c,UASF_0151,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0152,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0153,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0154,true,c;cpp;csharp;go;java;kotlin;python;r;rust
c,UASF_0155,true,c;cpp;go;java;kotlin;python;rust
c,UASF_0156,true,c;cpp
c,UASF_0157,false,kotlin
