language,truth_id,support
c,T0001,32
csharp,T0001,32
go,T0001,32
python,T0001,32
r,T0001,32
rust,T0001,32
c,T0002,32
csharp,T0002,32
go,T0002,32
python,T0002,32
r,T0002,32
rust,T0002,32
c,T0003,32
csharp,T0003,32
go,T0003,32
python,T0003,32
r,T0003,32
rust,T0003,32
c,T0004,32
csharp,T0004,32
go,T0004,32
python,T0004,32
r,T0004,32
rust,T0004,32
c,T0005,25
csharp,T0005,25
go,T0005,25
python,T0005,25
r,T0005,25
rust,T0005,25
c,T0006,25
csharp,T0006,25
go,T0006,25
python,T0006,25
r,T0006,25
rust,T0006,25
c,T0007,25
csharp,T0007,25
go,T0007,25
python,T0007,25
r,T0007,25
rust,T0007,25
c,T0008,25
csharp,T0008,25
go,T0008,25
python,T0008,25
r,T0008,25
rust,T0008,25
c,T0009,25
csharp,T0009,25
go,T0009,25
python,T0009,25
r,T0009,25
rust,T0009,25
c,T0010,25
csharp,T0010,25
go,T0010,25
python,T0010,25
r,T0010,25
rust,T0010,25
c,T0011,25
csharp,T0011,25
go,T0011,25
python,T0011,25
r,T0011,25
rust,T0011,25
c,T0012,21
csharp,T0012,21
go,T0012,21
python,T0012,21
r,T0012,21
c,T0013,21
csharp,T0013,21
go,T0013,21
python,T0013,21
r,T0013,21
c,T0014,21
csharp,T0014,21
go,T0014,21
python,T0014,21
rust,T0014,21
c,T0015,21
csharp,T0015,21
go,T0015,21
python,T0015,21
r,T0015,21
c,T0016,21
csharp,T0016,21
go,T0016,21
python,T0016,21
r,T0016,21
c,T0017,21
csharp,T0017,21
go,T0017,21
python,T0017,21
r,T0017,21
c,T0018,21
csharp,T0018,21
go,T0018,21
python,T0018,21
r,T0018,21
c,T0019,21
csharp,T0019,21
go,T0019,21
python,T0019,21
rust,T0019,21
c,T0020,20
csharp,T0020,20
go,T0020,20
python,T0020,20
r,T0020,20
rust,T0020,20
c,T0021,18
go,T0021,18
python,T0021,18
r,T0021,18
c,T0022,18
go,T0022,18
python,T0022,18
r,T0022,18
c,T0023,18
go,T0023,18
python,T0023,18
r,T0023,18
c,T0024,18
go,T0024,18
python,T0024,18
r,T0024,18
c,T0025,18
go,T0025,18
python,T0025,18
r,T0025,18
c,T0026,18
go,T0026,18
python,T0026,18
r,T0026,18
c,T0027,18
go,T0027,18
python,T0027,18
r,T0027,18
c,T0028,17
go,T0028,17
python,T0028,17
r,T0028,17
rust,T0028,17
c,T0029,17
go,T0029,17
python,T0029,17
r,T0029,17
rust,T0029,17
c,T0030,16
csharp,T0030,16
go,T0030,16
python,T0030,16
r,T0030,16
rust,T0030,16
c,T0031,16
csharp,T0031,16
go,T0031,16
python,T0031,16
r,T0031,16
rust,T0031,16
c,T0032,16
go,T0032,16
python,T0032,16
r,T0032,16
rust,T0032,16
c,T0033,16
csharp,T0033,16
go,T0033,16
python,T0033,16
r,T0033,16
rust,T0033,16
c,T0034,16
go,T0034,16
python,T0034,16
r,T0034,16
rust,T0034,16
c,T0035,16
go,T0035,16
python,T0035,16
r,T0035,16
rust,T0035,16
c,T0036,16
csharp,T0036,16
go,T0036,16
python,T0036,16
r,T0036,16
