truth_id,root_cause_id
T0085,RC0061
T0087,RC0061
T0088,RC0061
T0063,RC0099
T0063,RC0046
T0085,RC0060
T0087,RC0060
T0088,RC0060
T0065,RC0065
T0067,RC0065
T0068,RC0065
T0065,RC0034
T0067,RC0034
T0068,RC0034
T0065,RC0098
T0067,RC0098
T0068,RC0098
T0063,RC0089
T0065,RC0091
T0067,RC0091
T0068,RC0091
T0072,RC0082
T0075,RC0082
T0085,RC0082
T0087,RC0082
T0088,RC0082
T0063,RC0071
T0063,RC0100
T0063,RC0101
T0085,RC0085
T0087,RC0085
T0088,RC0085
T0085,RC0084
T0087,RC0084
T0088,RC0084
T0075,RC0083
T0065,RC0027
T0067,RC0027
T0068,RC0027
T0065,RC0025
T0067,RC0025
T0068,RC0025
T0063,RC0022
T0065,RC0022
T0067,RC0022
T0068,RC0022
T0065,RC0031
T0067,RC0031
T0068,RC0031
T0065,RC0032
T0067,RC0032
T0068,RC0032
T0065,RC0033
T0067,RC0033
T0068,RC0033
T0075,RC0059
T0075,RC0058
T0085,RC0058
T0087,RC0058
T0088,RC0058
T0072,RC0057
T0075,RC0057
T0085,RC0057
T0087,RC0057
T0088,RC0057
T0063,RC0055
T0063,RC0107
T0065,RC0051
T0067,RC0051
T0068,RC0051
T0065,RC0047
T0067,RC0047
T0068,RC0047
T0075,RC0044
T0063,RC0043
T0075,RC0043
T0065,RC0038
T0067,RC0038
T0068,RC0038
